,link,product
0,https://groceries.asda.com/product/natural-plain/asda-greek-style-natural-yogurt/25611979,ASDA Greek Style Natural Yogurt
1,https://groceries.asda.com/product/natural-plain/asda-greek-style-fat-free-natural-yogurt/910000461906,ASDA Greek Style Fat Free Natural Yogurt
2,https://groceries.asda.com/product/corners/asda-chocolate-balls-split-pot-yogurt/1000006428079,ASDA Chocolate Balls Split Pot Yogurt
3,https://groceries.asda.com/product/corners/muller-corner-vanilla-yogurt-with-chocolate-balls/910000562142,Muller Corner Vanilla Yogurt with Chocolate Balls
4,https://groceries.asda.com/product/corners/muller-corner-strawberry-yogurt/910000562169,Muller Corner Strawberry Yogurt
5,https://groceries.asda.com/product/natural-plain/asda-smart-price-low-fat-natural-yogurt/31061795,ASDA Smart Price Low Fat Natural Yogurt
6,https://groceries.asda.com/product/corners/muller-corner-strawberry-yogurt-with-white-chocolate-shortcake-balls/910000562199,Muller Corner Strawberry Yogurt with White Chocolate Shortcake Balls
7,https://groceries.asda.com/product/corners/muller-corner-banana-yogurt-with-chocolate-flakes/910000562171,Muller Corner Banana Yogurt with Chocolate Flakes
8,https://groceries.asda.com/product/natural-plain/asda-greek-style-natural-yogurt/910000773349,ASDA Greek Style Natural Yogurt
9,https://groceries.asda.com/product/fat-free-low-fat/muller-light-fat-free-strawberry-yogurt/910000462333,Muller Light Fat Free Strawberry Yogurt
10,https://groceries.asda.com/product/fat-free-low-fat/muller-light-fat-free-toffee-yogurt/910000462113,Muller Light Fat Free Toffee Yogurt
11,https://groceries.asda.com/product/kids-yogurts/wildlife-strawberry-flavour-yogurt-choobs/1000078555728,Wildlife Strawberry Flavour Yogurt Choobs
12,https://groceries.asda.com/product/fat-free-low-fat/muller-light-banoffee-pie-flavour-yogurt/910000462279,Muller Light Banoffee Pie Flavour Yogurt
13,https://groceries.asda.com/product/big-pots/onken-fat-free-strawberry-yogurt/910000470905,Onken Fat Free Strawberry Yogurt
14,https://groceries.asda.com/product/greek-style/asda-greek-style-honey-yogurt/910000461974,ASDA Greek Style Honey Yogurt
15,https://groceries.asda.com/product/big-pots/onken-mango-papaya-passion-fruit-yogurt/910000470832,Onken Mango & Papaya & Passion Fruit Yogurt
16,https://groceries.asda.com/product/natural-plain/asda-fat-free-natural-yogurt/910000353976,ASDA Fat Free Natural Yogurt
17,https://groceries.asda.com/product/fat-free-low-fat/muller-light-fat-free-limited-edition-yogurt/910002715257,Muller Light Fat Free Limited Edition Yogurt
18,https://groceries.asda.com/product/fat-free-low-fat/muller-light-fat-free-banana-custard-yogurt/910000462312,Muller Light Fat Free Banana & Custard Yogurt
19,https://groceries.asda.com/product/corners/muller-corner-vanilla-yogurt-with-chocolate-digestive-biscuits/910000562157,Muller Corner Vanilla Yogurt with Chocolate Digestive Biscuits
20,https://groceries.asda.com/product/kids-yogurts/wildlife-variety-yogurt-choobs/1000078555663,Wildlife Variety Yogurt Choobs
21,https://groceries.asda.com/product/corners/muller-corner-toffee-yogurt-with-chocolate-hoops/910000562174,Muller Corner Toffee Yogurt with Chocolate Hoops
22,https://groceries.asda.com/product/probiotic-heart-health/asda-vitamin-boosting-strawberry-yogurts-drink/910002360002,ASDA Vitamin Boosting Strawberry Yogurts Drink
23,https://groceries.asda.com/product/corners/muller-corner-red-cherry-yogurt/910000562145,Muller Corner Red Cherry Yogurt
24,https://groceries.asda.com/product/natural-plain/lancashire-farm-natural-yogurt/1000000473618,Lancashire Farm Natural Yogurt
25,https://groceries.asda.com/product/probiotic-heart-health/actimel-strawberry-yogurt-drinks/71431377,Actimel Strawberry Yogurt Drinks
26,https://groceries.asda.com/product/big-pots/onken-fat-free-vanilla-yogurt/910000470969,Onken Fat Free Vanilla Yogurt
27,https://groceries.asda.com/product/breakfast-biscuits/go-ahead-yogurt-breaks-strawberry/910001323556,Go Ahead! Yogurt Breaks Strawberry
28,https://groceries.asda.com/product/fat-free-low-fat/muller-light-fat-free-vanilla-yogurt/910000462162,Muller Light Fat Free Vanilla Yogurt
29,https://groceries.asda.com/product/fat-free-low-fat/muller-light-fat-free-vanilla-dark-chocolate-yogurt/1000000479222,Muller Light Fat Free Vanilla & Dark Chocolate Yogurt
30,https://groceries.asda.com/product/big-pots/onken-cherry-yogurt/910000470865,Onken Cherry Yogurt
31,https://groceries.asda.com/product/raisins-kids-fruit-snacks/asda-strawberry-yogurt-pieces/910000280864,ASDA Strawberry Yogurt Pieces
32,https://groceries.asda.com/product/kids-yogurts/frubes-strawberry-raspberry-yogurt-pouches/910000774448,Frubes Strawberry & Raspberry Yogurt Pouches
33,https://groceries.asda.com/product/fat-free-low-fat/muller-light-fat-free-orange-with-dark-chocolate-yogurt/910000204298,Muller Light Fat Free Orange with Dark Chocolate Yogurt
34,https://groceries.asda.com/product/kids-yogurts/yeo-valley-little-yeos-organic-fruity-favourites-yogurt/1000000471824,Yeo Valley Little Yeos Organic Fruity Favourites Yogurt
35,https://groceries.asda.com/product/kids-yogurts/frubes-strawberry-red-berry-and-peach-flavour-yogurt/1000078555677,"Frubes Strawberry, Red Berry and Peach Flavour Yogurt"
36,https://groceries.asda.com/product/fat-free-low-fat/muller-light-fat-free-raspberry-cranberry-yogurt/910000462186,Muller Light Fat Free Raspberry & Cranberry Yogurt
37,https://groceries.asda.com/product/kids-yogurts/munch-bunch-squashums-raspberry-yogurt/78035003,Munch Bunch Squashums Raspberry Yogurt
